id_hagr	aliases	symbol_hugo	name_common	entrez_id	why	band	location_start	location_end	orientation	unigene	swissprot	acc_promoter	acc_orf	acc_cds	references
248	PEPCK1 PEPCKC PEPCK-C	PCK1	phosphoenolpyruvate carboxykinase 1 (soluble)	5105	putative	20q13.31	55569543	55574919	1	1872	PCKGC_HUMAN		NM_002591	NP_002582	1,771,696,711,792,850
249	RHOGAP RHOGAP1 CDC42GAP p50rhoGAP	ARHGAP1	Rho GTPase activating protein 1	392	mammal	11p12-q12	46655208	46678696	-1	138860	RHG01_HUMAN		NM_004308	NP_004299	17227869
250	G25K CDC42Hs	CDC42	cell division cycle 42 (GTP binding protein, 25kDa)	998	cell,downstream	1p36.1	22251707	22292023	1	690198	CDC42_HUMAN		NM_001791	NP_001782	17,227,869,165,108,700,000,000,000,000,000
251	TIC JAP3 MOP3 BMAL1 PASD3 BMAL1c bHLHe5	ARNTL	aryl hydrocarbon receptor nuclear translocator-like	406	mammal	11p15	13255901	13365388	1	65734	BMAL1_HUMAN		NM_001178	NP_001169	16,787,960,168,473,400,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
252	KAT13D bHLHe8	CLOCK	clock homolog (mouse)	9575	functional,downstream	4q12	55993417	56107754	-1	436975	CLOCK_HUMAN		NM_004898	NP_004889	16,787,960,168,473,400,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
253	hic-1 ZBTB29 ZNF901	HIC1	hypermethylated in cancer 1	3090	upstream	17p13.3	1905143	1909731	1	72956	HIC1_HUMAN		NM_006497	NP_006488	1,626,933,512,539,040
254	PAPA DIPLA1 PAPP-A PAPPA1 ASBABP2 IGFBP-4ase	PAPPA	pregnancy-associated plasma protein A, pappalysin 1	5069	functional,putative	9q33.2	117955892	118204421	1	643599	PAPP1_HUMAN		NM_002581	NP_002572	1,768,103,716,079,250,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
255	AC5 FDFM	ADCY5	adenylate cyclase 5	111	mammal	3q13.2-q21	124486089	124650082	-1	593293	ADCY5_HUMAN		NM_183357	NP_899200	176,629,402,302,024,000,000,000
256	LEM6 PGC1 PGC1A PGC-1v PPARGC1 PGC-1(alpha)	PPARGC1A	peroxisome proliferator-activated receptor gamma, coactivator 1 alpha	10891	upstream,downstream	4p15.1	23402742	23500798	-1	527078	PRGC1_HUMAN		NM_013261	NP_037393	14,614,508,115,579,800,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
257	MCSP GPx-4 PHGPx snGPx GSHPx-4 snPHGPx	GPX4	glutathione peroxidase 4 (phospholipid hydroperoxidase)	2879	putative	19p13.3	1054936	1057787	1	433951	GPX4_HUMAN	HS_GPX4	NM_002085	NP_002076	154,964,071,789,543,000,000,000
258	UCP SLC25A7	UCP1	uncoupling protein 1 (mitochondrial, proton carrier)	7350	putative	4q28-q31	141700500	141709457	-1	249211	UCP1_HUMAN		NM_021833	NP_068605	1,048,105,615,304,250,000,000,000,000,000,000,000,000,000,000,000,000,000
259	ADHR FGFN HYPF HPDR2 PHPTC	FGF23	fibroblast growth factor 23	8074	downstream,putative	12p13.3	4347654	4359155	-1	287370	FGF23_HUMAN		NM_020638	NP_065689	1,643,638,817,086,190,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
260	DHRD DRAD FBNL MLVT MTLV S1-5 FBLN3 FIBL-3	EFEMP1	EGF-containing fibulin-like extracellular matrix protein 1	2202	mammal	2p16	55946606	56003860	-1	76224	FBLN3_HUMAN		NM_004105	NP_004096	178,729,051,036,926,000,000,000
261	XPF RAD1 FANCQ ERCC11	ERCC4	excision repair cross-complementing rodent repair deficiency, complementation group 4	2072	functional,putative	16p13.3-p1	13921515	13953706	1	696757	XPF_HUMAN		NM_005236	NP_005227	10,320,375,819,717,500,000,000,000,000,000,000,000,000,000,000,000,000
262	BPIFF HDLCQ10	CETP	cholesteryl ester transfer protein, plasma	1071	human_link	16q21	56995834	57017755	1	89538	P11597		NM_000078	NP_000069	14,559,957,202,006,000,000,000,000,000,000,000,000,000,000,000,000,000,000
263	GLM1 CIMT1 NR1C3 PPARG1 PPARG2 PPARgamma	PPARG	peroxisome proliferator-activated receptor gamma	5468	functional	3p25	12329348	12475854	1	162646	D2KUA6		NM_005037	NP_005028	15,175,761,185,479,900,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
264	AT1 AG2S AT1B AT1R AT1AR AT1BR AT2R1 HAT1R AGTR1A AGTR1B AT2R1A AT2R1B	AGTR1	angiotensin II receptor, type 1	185	mammal	3q24	148415657	148460789	1	477887	P30556		NM_000685	NP_000676	1,919,713,819,763,600,000,000,000,000,000,000,000,000
265	ERIS WFS2 ZCD2 NAF-1 Miner1	CISD2	CDGSH iron sulfur domain 2	493856	mammal	4q24	103790134	103813963	1	444955	Q8N5K1		NM_001008388	NP_001008389	1,945,121,920,649,540,000,000,000,000,000,000,000,000
266	P18 AIMP3	EEF1E1	eukaryotic translation elongation factor 1 epsilon 1	9521	mammal	6p24.3	8073592	8102827	-1	602353	C9JLK5		NM_001135650	NP_001129122	156,803,272,072,685,000,000,000
267		EPS8	epidermal growth factor receptor pathway substrate 8	2059	mammal	12p12.3	15773074	15942509	-1	591160	B4E3T6		NM_004447	NP_004438	202,091,482,287,604,000,000,000,000,000,000,000,000,000,000,000
268	MK3 HGK5 HLK3 PCN3 HPCN3 KV1.3 HUKIII	KCNA3	potassium voltage-gated channel, shaker-related subfamily, member 3	3738	mammal	1p13.3	111214309	111217654	-1	169948	P22001		NM_002232	NP_002223	185,420,831,631,706,000,000,000,000,000,000,000,000,000,000,000
269	SIR2L7	SIRT7	sirtuin 7	51547	functional,putative	17q25	79869814	79876057	-1	514636	Q9NRC8		NM_016538	NP_057622	182,391,381,700,378,000,000,000,000,000,000,000,000,000,000,000
270	NAS1 NaSi-1	SLC13A1	solute carrier family 13 (sodium/sulfate symporters), member 1	6561	mammal,model	7q31.32	122753587	122840024	-1	489849	A4D0X1		NM_022444	NP_071889	21,651,971,111,181,400,000,000,000,000,000
271	CIS2 SSI2 Cish2 SSI-2 SOCS-2 STATI2	SOCS2	suppressor of cytokine signaling 2	8835	functional,upstream	12q	93963597	93970520	1	485572	A8K3D1		NM_003877	NP_003868	9,727,029,104,033,760,000,000,000,000,000,000,000,000,000,000,000,000,000
273	TPP-2	TPP2	tripeptidyl peptidase II	7174	mammal	13q32-q33	103249285	103331523	1	432424	P29144		NM_003291	NP_003282	1,836,232,915,735,020
274	p202 53BP1	TP53BP1	tumor protein p53 binding protein 1	7158	functional	15q15-q21	43699411	43802706	-1	440968	F8VY86		NM_001141979	NP_001135451	125,335,091,971,679,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
275	SIR2L3	SIRT3	sirtuin 3	23410	functional	11p15.5	215029	236361	-1	716456	Q9NTG7		NM_001017524	NP_001017524	168,730,592,187,320,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
276	SMRT TRAC CTG26 SMRTE TRAC1 N-CoR2 TNRC14 TRAC-1 SMAP270 SMRTE-tau	NCOR2	nuclear receptor corepressor 2	9612	mammal	12q24	124808956	125052009	-1	137510	C9J0Q5		NM_001206654	NP_001193583	15,175,761,211,091,900,000,000,000,000,000
277	UNC84A	SUN1	Sad1 and UNC84 domain containing 1	23353	upstream	7p22.3	855193	914556	1	438072	B4DZF7		NM_001171944	NP_001165415	225,414,281,754,386,000,000,000
278	BAK CDN1 BCL2L7 BAK-LIKE	BAK1	BCL2-antagonist/killer 1	578	functional	6p21.3	33540322	33548069	-1	485139	Q16611		NM_001188	NP_001179	771,573,077,157,311,000,000,000,000,000
279	IBP2 IGF-BP53	IGFBP2	insulin-like growth factor binding protein 2, 36kDa	3485	functional	2q33-q34	217498126	217529158	1	438102	P18065		NM_000597	NP_000588	200,745,242,110,873,000,000,000,000,000,000,000,000,000,000,000
280	P5C P5CR PRO3 PYCR PIG45 PP222 ARCL2B ARCL3B	PYCR1	pyrroline-5-carboxylate reductase 1	5831	putative	17q25.3	79890266	79894967	-1	163451	A6NFM2		NM_153824	NP_722546	196,489,211,957,656,000,000,000
281	P73	TP73	tumor protein p73	7161	functional,putative	1p36.3	3569128	3652764	1	192132	B7Z7J4		NM_001204192	NP_001191121	1,071,645,118,786,350,000,000,000,000,000,000,000,000
282	CB1 CNR CB-R CB1A CB1R CANN6 CB1K5	CNR1	cannabinoid receptor 1 (brain)	1268	putative	6q14-q15	88849582	88875766	-1	75110	P21554		NM_001160226	NP_001153698	216,903,451,954,771,000,000,000,000,000,000,000,000,000,000,000
283	NRF2	NFE2L2	nuclear factor (erythroid-derived 2)-like 2	4780	cell,upstream	2q31	178095030	178129858	-1	731566	B4E338		NM_001145413	NP_001138885	182,870,831,828,159,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
284	P21 CIP1 SDI1 WAF1 CAP20 CDKN1 MDA-6 p21CIP1	CDKN1A	cyclin-dependent kinase inhibitor 1A (p21, Cip1)	1026	cell	6p21.2	36644236	36655115	1	370771	P38936		NM_000389	NP_000380	79,589,161,579,737,700,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
285	CD140A PDGFR2 PDGFR-2 RHEPDGFRA	PDGFRA	platelet-derived growth factor receptor, alpha polypeptide	5156	downstream	4q12	55095263	55164411	1	74615	P16234		NM_006206	NP_006197	126,688,882,199,362,000,000,000,000,000,000,000,000
286	MCM CWS5 MCAP PI3K CLOVE MCMTC p110-alpha	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit alpha	5290	upstream	3q26.3	178866310	178952499	1	553498	P42336		NM_006218	NP_006209	1,982,280,721,474,060,000,000,000,000,000,000,000,000
287		C1QA	complement component 1, q subcomponent, A chain	712	upstream	1p36.12	22963117	22966174	1	632379	P02745		NM_015991	NP_057075	226,822,509,590,289,000,000,000,000,000
288	P15 MTS2 TP15 CDK4I INK4B p15INK4b	CDKN2B	cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)	1030	cell	9p21	22002901	22009311	-1	72901	P42772		NM_004936	NP_004927	19,239,418,815,248,700,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
289	EIF-5A2 eIF5AII	EIF5A2	eukaryotic translation initiation factor 5A2	56648	mammal	3q26.2	170606203	170626425	-1	164144	Q9GZV4		NM_020390	NP_065123	216,126,651,794,977,000,000,000
290	GIF GLIF MMIF	MIF	macrophage migration inhibitory factor (glycosylation-inhibiting factor)	4282	mammal	22q11.23	24236564	24237408	1	407995	I4AY87		NM_002415	NP_002406	20,219,983,206,061,100,000,000,000,000,000,000,000,000,000,000
291	ARAT DGAT ARGP1	DGAT1	diacylglycerol O-acyltransferase 1	8694	mammal	8q24.3	145538245	145550581	-1	521954	O75907		NM_012079	NP_036211	222,911,641,967,513,000,000,000
292	MT1 MTD	MT1E	metallothionein 1E	4493	putative	16q13	56659556	56661023	1	744893	P04732		NM_175617	NP_783316	16585059
293		FGF21	fibroblast growth factor 21	26291	mammal	19q13.33	49258815	49261586	1	283015	Q9NSA1		NM_019113	NP_061986	230,665,061,590,230,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
294	OMI PARK13 PRSS25	HTRA2	HtrA serine peptidase 2	27429	mammal	2p12	74756531	74760682	1	469045	O43464		NM_013247	NP_037379	229,768,342,253,525,000,000,000,000,000,000,000,000,000,000,000
295		GSK3A	glycogen synthase kinase 3 alpha	2931	mammal	19q13.2	42734337	42746735	-1	466828	P49840		NM_019884	NP_063937	23,549,082,193,911,600,000,000,000,000,000
296	MTH1	NUDT1	nudix (nucleoside diphosphate linked moiety X)-type motif 1	4521	mammal	7p22	2281856	2290779	1	534331	P36639		NM_002452	NP_002443	2,364,805,919,500,660,000,000,000,000,000,000,000,000
297	IKK2 IKKB NFKBIKB IKK-beta	IKBKB	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta	3551	mammal	8p11.2	42128819	42190170	1	597664	O14920		NM_001190720	NP_001177649	1,547,964,422,706,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
298	p60 p62 A170 OSIL PDB3 ZIP3 p62B	SQSTM1	sequestosome 1	8878	putative	5q35	179233387	179265077	1	724025	Q13501		NM_001142298	NP_001135770	22,222,206,241,389,800,000,000,000,000,000
299	CAK1 HCAK MO15 STK1 CDKN7 p39MO15	CDK7	cyclin-dependent kinase 7	1022	mammal	5q12.1	68530621	68573256	1	184298	P50613		NM_001799	NP_001790	2,250,503,211,124,420
300	GEP GP88 PEPI PGRN CLN11 PCDGF	GRN	granulin	2896	putative	17q21.32	42422490	42430473	1	514220	P28799		NM_002087	NP_002078	2,273,356,820,522,650,000,000,000,000,000,000,000,000
